CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,acceso_bomberos_km,intersecciones_km2,densidad_vial,tipo_vial_pct,poblacion_total,densidad_pob,viviendas,riesgo_base,ocurrio_incendio,ia_probabilidad_incendio,riesgo_pob_vial,aislamiento_tactico,total_incendios
0803700013942051,8,37,1,3942,51,Urbana,Típica,3.82,0.0,41.32,0.0,10.0,10.0,27,ALTO,0,0.4150410162649679,413.2,0.09242680861359787,0
0803700013942058,8,37,1,3942,58,Urbana,Típica,3.86,184.85,0.0,0.0,0.0,0.0,11,MEDIO,0,0.25639255783142567,0.0,386.0,0
0803700014349017,8,37,1,4349,17,Urbana,Típica,3.52,0.0,0.0,0.0,0.0,0.0,13,ALTO,0,0.26690018222949957,0.0,352.0,0
0803700014349022,8,37,1,4349,22,Urbana,Típica,3.66,0.0,0.0,0.0,17.0,17.0,1,ALTO,0,0.2718806265291264,0.0,366.0,0
0803700014349047,8,37,1,4349,47,Urbana,Típica,3.65,0.0,0.0,0.0,257.0,257.0,14,ALTO,0,0.10079055605537297,0.0,365.0,0
0803700014423021,8,37,1,4423,21,Urbana,Típica,2.86,12.67,2.38,0.0,94.0,94.0,623,BAJO,0,0.2013424702836733,223.72,1.196652719665272,0
0803700014423047,8,37,1,4423,47,Urbana,Típica,2.85,0.0,0.0,0.0,0.0,0.0,32,MEDIO,0,0.2514667721005382,0.0,285.0,0
0803700014423048,8,37,1,4423,48,Urbana,Típica,2.76,0.0,0.0,0.0,0.0,0.0,20,MEDIO,0,0.2564667721005382,0.0,276.0,0
0803700014423049,8,37,1,4423,49,Urbana,Típica,2.64,0.0,0.0,0.0,0.0,0.0,18,BAJO,0,0.2564667721005382,0.0,264.0,0
0803700014673007,8,37,1,4673,7,Urbana,Típica,0.78,0.0,0.0,0.0,48.0,48.0,5,BAJO,0,0.7113424840251038,0.0,78.0,0
0803700014673050,8,37,1,4673,50,Urbana,Típica,0.84,0.0,0.0,0.0,41.0,41.0,6,BAJO,0,0.6819296734432228,0.0,84.0,0
0803700014688029,8,37,1,4688,29,Urbana,Típica,0.48,0.0,0.0,0.0,11.0,11.0,22,BAJO,0,0.9187124938681807,0.0,48.0,0
0803700014828011,8,37,1,4828,11,Urbana,Típica,12.23,0.0,0.0,0.0,85.0,85.0,63,MEDIO,0,0.10879807318524329,0.0,1223.0,0
0803700014828091,8,37,1,4828,91,Urbana,Típica,12.46,0.0,0.0,0.0,0.0,0.0,7,MEDIO,0,0.13978040070621522,0.0,1246.0,0
0803700014866023,8,37,1,4866,23,Urbana,Típica,6.77,0.0,0.0,0.0,30.0,30.0,19,ALTO,0,0.2467573609271409,0.0,677.0,0
0803700015154013,8,37,1,5154,13,Urbana,Típica,2.51,0.0,0.0,0.0,0.0,0.0,194,BAJO,0,0.705142673879631,0.0,250.99999999999997,0
0803700015154040,8,37,1,5154,40,Urbana,Típica,2.27,0.0,0.0,0.0,0.0,0.0,7,BAJO,0,0.8735198477859353,0.0,227.0,0
0803700015258059,8,37,1,5258,59,Urbana,Típica,0.83,0.0,0.0,0.0,0.0,0.0,2,BAJO,0,0.8951909265756732,0.0,83.0,0
