CVEGEO,CVE_MZA,TIPOMZA,total_incendios,acceso_bomberos_km,densidad_vial,poblacion_total,riesgo_base,densidad_incendios_500m,distancia_bomberos_m
0803700017930054,54,Típica,0.0,8.84,0.0,14,MEDIO,0,8835.684499776378
0803700017930053,53,Típica,0.0,8.86,0.0,12,MEDIO,0,8863.04918595021
0803700017930052,52,Típica,0.0,8.83,0.0,82,MEDIO,0,8830.203176698953
0803700017930033,33,Típica,0.0,8.44,0.0,66,MEDIO,0,8442.122669763246
0803700017822032,32,Típica,0.0,8.39,0.0,239,MEDIO,0,8394.7327817383
0803700017818037,37,Típica,0.0,8.68,23.7,221,ALTO,0,8684.143049781955
0803700017771039,39,Típica,2.0,8.63,0.0,77,ALTO,0,8631.704657871014
0803700017771037,37,Típica,0.0,8.68,0.0,97,MEDIO,0,8683.152784372793
0803700017771001,1,Típica,2.0,8.57,0.0,99,ALTO,0,8570.918900725168
0803700017682060,60,Típica,1.0,4.67,94.07,0,ALTO,0,4667.070233683824
0803700017682059,59,Típica,0.0,4.69,0.0,0,MEDIO,0,4690.329319071715
0803700017682058,58,Típica,0.0,4.72,0.0,0,MEDIO,0,4716.87845484153
0803700017930067,67,Típica,0.0,8.55,0.0,28,MEDIO,0,8548.75738530703
0803700018017103,103,Típica,0.0,7.57,0.0,65,MEDIO,0,7570.700085213144
0803700018017085,85,Típica,0.0,11.07,0.0,0,MEDIO,0,11065.353012742798
0803700018017084,84,Típica,0.0,11.13,0.0,0,MEDIO,0,11130.67875725399
0803700018017083,83,Típica,0.0,11.19,0.0,0,MEDIO,0,11190.151856763514
0803700018017081,81,Típica,0.0,11.25,0.0,0,MEDIO,0,11246.59491978822
0803700018017080,80,Típica,0.0,11.13,0.0,0,MEDIO,0,11132.277838046719
0803700018017079,79,Típica,0.0,11.12,0.0,0,MEDIO,0,11121.989128013578
0803700018017068,68,Típica,0.0,10.63,0.0,97,MEDIO,0,10630.818165549828
0803700018017067,67,Típica,0.0,10.65,0.0,107,MEDIO,0,10649.13192686386
0803700018017065,65,Típica,0.0,10.7,0.0,0,MEDIO,0,10698.366929076592
0803700017998053,53,Típica,0.0,11.87,0.0,75,MEDIO,0,11872.632248770396
0803700017998052,52,Típica,0.0,11.83,0.0,48,MEDIO,0,11829.638998930854
0803700017998050,50,Típica,0.0,11.72,0.0,89,MEDIO,0,11721.823403615073
0803700017998033,33,Típica,0.0,11.83,20.53,30,ALTO,0,11827.281128667762
0803700017998032,32,Típica,0.0,11.81,0.0,72,MEDIO,0,11805.79348691957
0803700017998003,3,Típica,5.0,11.26,77.21,59,ALTO,0,11262.741378837967
0803700017983066,66,Típica,0.0,11.15,0.0,51,MEDIO,0,11145.506757963023
0803700017983065,65,Típica,0.0,10.62,51.67,0,ALTO,0,10617.359237276149
0803700017983064,64,Típica,0.0,11.18,0.0,109,MEDIO,0,11179.662201540412
0803700017983063,63,Típica,0.0,11.02,52.55,148,MEDIO,0,11022.16858809071
0803700017983034,34,Típica,0.0,11.22,0.0,79,MEDIO,0,11224.855091103916
